,identifier,controller_0,controller_1,controller_2,controller_3,behavior_0,behavior_1,behavior_2,behavior_3,behavior_4,behavior_5,behavior_6
129,265,9.280022646926284,-0.7045602704013874,-0.7097441763185919,0.952935199950121,1.5005708002956024,0.3122121628409874,0.025046822954580744,0.0553336179045378,1.32107741239893,410.0,0.08045502567066498
130,268,4.314111991258034,-0.6784548563499369,7.444631346573997,-0.10759177844323697,1.461650256655202,0.18388413763196598,0.02538076983976773,0.015251025791960455,1.3602900723463314,2184.0,0.024065312842673964
131,269,7.501985349499199,0.3861910741274288,9.502179125928162,0.7589673206017102,1.2002335695849036,-0.21588459388644857,0.9296259810716926,0.2571543717948106,-0.3380126489733831,1266.0,0.3953145839039952
132,270,-2.430141447537748,0.1024383817898813,6.330746354297694,0.20550957386580326,0.45010947048079386,-0.015964613735528245,0.06210596723223905,0.02396904252611611,-0.05779172693060643,3115.0,0.02683111705199894
133,271,4.304088535325816,0.5899973842616832,4.810042189939865,-0.6007616288253446,1.1315189253219327,-0.22510237409328135,0.0001125064898256998,0.03989537849283566,-1.1271183002095428,108.0,0.057381239424532646
134,273,-3.3786351302653395,-0.3870523009163829,-0.818660617881739,-0.9168028754921196,0.5789822538549532,0.05936725264831589,0.08721777513797656,0.027044042441935687,0.35419504946372116,1741.0,0.030566781585197562
135,274,7.356435920023343,0.9077753904204109,-1.0820367943387388,-0.11619286940786466,0.44697667399456437,0.001674054352482878,0.20371654656139054,0.15743831365768762,0.005098892360337642,0.0,0.21328310965712036
136,277,0.9662107766296635,0.4124201518914663,-9.17278994547704,0.6524692323281969,0.530143313434868,-0.17725505934581595,0.8941573798398947,0.4339598972001615,-0.28561939048486773,20.0,0.5755292346415868
137,279,5.850958119337289,0.18235594703135494,1.1569412363226061,0.5930749036194853,0.5671639326753375,-0.0813783599087862,0.5762328283573211,0.4845613900213058,-0.09580323698571364,64.0,0.5913758949476225
138,283,1.704622549593966,-0.07223408409900434,-0.8300008360117972,-0.9190097565137769,0.41843814924148776,-0.007331087019456192,0.1978354693482931,0.3198854205916199,-0.011406387238675209,0.0,0.4418544749668152
139,288,-5.822892588385875,-0.06154023816854681,2.4591702565148177,-0.9637666695439215,1.3068010878718948,0.31394816222574834,0.32835267661573886,0.10366414987188284,0.9326816365580121,764.0,0.09668029963840072
140,294,-1.7535655726546229,-0.3018638194872676,-6.650240770280725,-0.8687015677676111,0.6510907220605389,0.001087942006158615,0.32720708730445763,0.2045296987607626,0.006269990770151763,0.0,0.2771271757731265
141,295,-7.841248384445796,-0.13967976427839335,1.8413836723546018,-0.026430536592216836,0.6909819006745401,0.07548474510797662,0.09305838992662352,0.024604467375587847,0.3370439264413024,1989.0,0.02576651062899479
142,296,-0.6770365174089865,-0.9131036724667418,3.6203371109475113,0.06396335728405944,0.6477725468072674,0.08943433172462983,0.04669678986926676,0.022640273468490665,0.5766046029607087,3153.0,0.032696174765400016
143,298,-5.5967455626865465,-0.1265270797057314,-3.569000170393666,-0.19161740067889466,1.1492647623134737,0.16047290993269583,0.9416641364631576,0.16796548819029522,0.536594689118688,535.0,0.10356626821387557
144,300,-3.632885669448691,-0.24412700786583708,1.27514060988555,0.6797379021533341,0.4817607129060446,-0.07617160016511597,1.0912579873954458,0.39661911796360494,-0.11390508720273909,234.0,0.5329642709296863
145,303,5.4047201888811465,-0.30864023973171206,-4.547225959321841,0.7173591366610794,1.2641226493544697,0.14627051458506674,0.053415595193912625,0.06513720454177048,0.5289367332248915,481.0,0.09298793325251653
146,305,5.264214020866984,0.8298185352186502,8.848046350679848,-0.1868164063850708,1.9241850536818654,-0.3159769363401349,3.478950321827215e-05,0.027123305113521873,-1.9191848903520985,639.0,0.03901734706580796
147,306,-1.4769501167830423,-0.7429480864730955,7.323832305512439,-0.5296383325027638,0.6462645403620288,0.049640100543300064,0.07372269707228565,0.02278301937603838,0.2738874687951578,2964.0,0.020738457693846378
148,308,-4.884500006514248,-0.3394370116482024,8.150990752977002,0.1830865929411425,0.5887376319793912,-0.0036171282302816443,0.05330370828157008,0.01887529204437935,-0.08738103488048049,3282.0,0.023661105167377083
149,309,4.070850690006791,-0.2123112575894459,-7.426817070002976,0.7060826355815808,1.1855109915015065,0.10277457066377023,0.1657409634344231,0.07937315861682659,0.3800727763596705,353.0,0.12083889465023939
150,310,4.1873410202157,0.8173100002324429,8.619260414878605,0.33345842471595666,1.302116672519343,-0.10765361354469233,0.055927769823994916,0.02797249951505576,-0.39626023469376365,4054.0,0.027354362263697585
